Nome_Figura_Ed,Nome_Figura_original,x,y,NomeObj,Tipo
C;0,tape_horizontalop2.png,2,1,tape_horizontalop2.png,C
C;1,tape_horizontalop2.png,171,1,tape_horizontalop2.png,C
C;2,tape_horizontalop2.png,339,1,tape_horizontalop2.png,C
C;3,tape_horizontalop2.png,507,1,tape_horizontalop2.png,C
C;4,tape_horizontalop2.png,590,1,tape_horizontalop2.png,C
C;5,tape_horizontalop2.png,2,740,tape_horizontalop2.png,C
C;6,tape_horizontalop2.png,170,740,tape_horizontalop2.png,C
C;7,tape_horizontalop2.png,338,740,tape_horizontalop2.png,C
C;8,tape_horizontalop2.png,506,740,tape_horizontalop2.png,C
C;9,tape_horizontalop2.png,591,740,tape_horizontalop2.png,C
C;10,tape_horizontalop2.png,730,1,tape_horizontalop2.png,C
C;11,tape_horizontalop2.png,730,600,tape_horizontalop2.png,C
C;12,tape_horizontalop2.png,592,584,tape_horizontalop2.png,C
C;13,tape_horizontalop2.png,592,153,tape_horizontalop2.png,C
C;14,Tape_Ink_2.png,456,155,Tape_Ink_2.png,C
C;15,Tape_Ink_3.png,455,457,Tape_Ink_3.png,C
C;16,tape_horizontalop2.png,484,424,tape_horizontalop2.png,C
C;17,tape_horizontalop2.png,485,264,tape_horizontalop2.png,C
C;18,LED_Default_1.png,444,337,LED_Default_1.png,C
C;19,tape_horizontalop2.png,58,2,tape_horizontalop2.png,C
C;20,tape_horizontalop2.png,113,149,tape_horizontalop2.png,C
C;21,tape_horizontalop2.png,45,216,tape_horizontalop2.png,C
C;22,tape_horizontalop2.png,2,216,tape_horizontalop2.png,C
C;23,Push_Button_1.png,86,148,Push_Button_1.png,C
C;24,Tape_Ink_2.png,391,290,Tape_Ink_2.png,C
C;25,tape_horizontalop2.png,324,350,tape_horizontalop2.png,C
C;26,Tape_Ink_3.png,404,421,Tape_Ink_3.png,C
C;27,tape_horizontalop2.png,327,421,tape_horizontalop2.png,C
C;28,LED_Default_1.png,306,338,LED_Default_1.png,C
C;29,tape_horizontalop2.png,241,350,tape_horizontalop2.png,C
C;30,tape_horizontalop2.png,243,421,tape_horizontalop2.png,C
C;31,tape_horizontalop2.png,194,350,tape_horizontalop2.png,C
C;32,tape_horizontalop2.png,194,421,tape_horizontalop2.png,C
C;33,LED_Default_1.png,194,342,LED_Default_1.png,C
F;0,Q4_1.jpg,195,276,Q4_1.jpg,F
F;1,R2.jpg,45,43,R2.jpg,F
F;2,Q3.jpg,470,12,Q3.jpg,F
