Nome_Figura_Ed,Nome_Figura_original,x,y,NomeObj,Tipo
C;0,tape_horizontalop2.png,67,68,tape_horizontalop2.png,C
C;1,tape_horizontalop2.png,236,68,tape_horizontalop2.png,C
C;2,Tape_Ink_3.png,872,71,Tape_Ink_3.png,C
C;3,Tape_Ink_2.png,874,219,Tape_Ink_2.png,C
C;4,tape_horizontalop2.png,68,286,tape_horizontalop2.png,C
C;5,LED_Default_1.png,893,137,LED_Default_1.png,C
F;0,1_A_Gustavo_Sem_Fundo (1).png,566,228,1_A_Gustavo_Sem_Fundo (1).png,F
F;1,1_A_Gustavo_Sem_Fundo (1).png,465,268,1_A_Gustavo_Sem_Fundo (1).png,F
F;2,1_A_Gustavo_Sem_Fundo (1).png,343,334,1_A_Gustavo_Sem_Fundo (1).png,F
F;3,1_A_Gustavo_Sem_Fundo (1).png,76,260,1_A_Gustavo_Sem_Fundo (1).png,F
F;4,1_A_Gustavo_Sem_Fundo (1).png,351,11,1_A_Gustavo_Sem_Fundo (1).png,F
F;5,1_A_Gustavo_Sem_Fundo (1).png,715,86,1_A_Gustavo_Sem_Fundo (1).png,F
F;6,1_A_Gustavo_Sem_Fundo (1).png,815,216,1_A_Gustavo_Sem_Fundo (1).png,F
F;7,1_A_Gustavo_Sem_Fundo (1).png,834,341,1_A_Gustavo_Sem_Fundo (1).png,F
F;8,1_A_Gustavo_Sem_Fundo (1).png,858,397,1_A_Gustavo_Sem_Fundo (1).png,F
F;9,y2_Arvore_4.png,37,550,y2_Arvore_4.png,F
F;10,Y_dog_7.png,461,430,Y_dog_7.png,F
